"","Camera_ID_f","Year","first_date","last_date"
"1","BFG01",2020,13,26
"2","BFG01",2022,1,47
"3","BFG01",2023,14,50
"4","BFG01",2024,21,51
"5","BFG01",2025,7,43
"6","BFG02",2023,13,49
"7","BFG02",2024,23,52
"8","BFG02",2025,14,48
"9","BFG03",NA,Inf,-Inf
"10","BFG04",2020,1,26
"11","BFG04",2024,13,51
"12","BFG05",2020,9,26
"13","BFG05",2022,13,47
"14","BFG05",2023,16,49
"15","BFG06",2020,1,26
"16","BFG06",2022,14,47
"17","BFG06",2023,14,50
"18","BFG06",2024,13,51
"19","BFG06",2025,14,48
"20","BFG07",2020,1,26
"21","BFG07",2022,12,47
"22","BFG07",2023,17,49
"23","BFG07",2024,20,44
"24","BFG07",2025,15,48
"25","BFG08",2020,1,26
"26","BFG08",2021,1,22
"27","BFG08",2022,6,47
"28","BFG08",2023,16,49
"29","BFG08",2024,20,51
"30","BFG08",2025,15,48
"31","BFG09",2020,1,26
"32","BFG10",2020,1,26
"33","BFG10",2022,13,48
"34","BFG10",2023,24,50
"35","BFG11",2020,1,26
"36","BFG11",2022,1,47
"37","BFG11",2023,13,49
"38","BFG11",2024,12,52
"39","BFG11",2025,7,48
"40","BFG12",2020,1,26
"41","BFG12",2022,14,47
"42","BFG12",2023,14,50
"43","BFG12",2024,12,52
"44","BFG12",2025,10,48
"45","BFG13",2020,1,26
"46","BFG13",2021,1,24
"47","BFG13",2022,1,47
"48","BFG13",2023,14,31
"49","BFG13",2024,23,52
"50","BFG13",2025,8,48
"51","BFG14",2020,1,26
"52","BFG14",2022,14,47
"53","BFG14",2023,13,49
"54","BFG14",2024,16,52
"55","BFG14",2025,11,48
"56","BFG15",2020,1,26
"57","BFG15",2022,14,47
"58","BFG15",2023,13,48
"59","BFG15",2024,13,52
"60","BFG15",2025,7,48
"61","BFG16",2020,1,26
"62","BFG17",2020,1,26
"63","BFG17",2022,14,47
"64","BFG17",2023,13,49
"65","BFG17",2024,21,21
"66","BFG17",2025,11,48
"67","BFG18",2020,1,26
"68","BFG18",2022,14,42
"69","BFG18",2023,17,50
"70","BFG19",2020,1,26
"71","BFG19",2021,6,22
"72","BFG19",2022,14,48
"73","BFG19",2023,16,50
"74","BFG19",2024,23,44
"75","BFG19",2025,7,48
"76","BFG20",2020,1,26
"77","BFG20",2022,1,47
"78","BFG20",2023,17,49
"79","BFG20",2024,20,52
"80","BFG20",2025,9,48
"81","BFG21",2020,24,26
"82","BFG21",2023,15,49
"83","BFG21",2024,16,52
"84","BFG21",2025,17,48
"85","BFG22",2020,1,6
"86","BFG22",2022,12,47
"87","BFG22",2023,14,49
"88","BFG23",2020,1,26
"89","BFG23",2021,1,22
"90","BFG23",2022,1,36
"91","BFG23",2023,15,49
"92","BFG24",2020,1,26
"93","BFG24",2022,4,48
"94","BFG24",2023,14,50
"95","BFG24",2024,23,37
"96","BFG24",2025,10,48
"97","BFG25",2020,1,26
"98","BFG25",2022,1,47
"99","BFG25",2023,17,49
"100","BFG25",2024,20,52
"101","BFG25",2025,15,48
"102","BFG26",2022,1,47
"103","BFG26",2023,16,50
"104","BFG26",2024,14,52
"105","BFG26",2025,11,48
"106","BFG27",2021,1,22
"107","BFG27",2022,1,47
"108","BFG27",2023,14,50
"109","BFG27",2024,8,44
"110","BFG27",2025,14,48
"111","Byers01",NA,Inf,-Inf
"112","Byers02",NA,Inf,-Inf
"113","CC03",2020,1,32
"114","CC03",2021,3,47
"115","CC03",2022,26,47
"116","CC03",2023,13,49
"117","CC03",2024,8,42
"118","CC03",2025,14,50
"119","CC04",2020,1,32
"120","CC04",2021,3,47
"121","CC04",2022,26,47
"122","CC04",2023,13,49
"123","CC04",2024,9,45
"124","CC04",2025,15,50
"125","CC05",2020,1,32
"126","CC05",2021,20,47
"127","CC05",2023,13,49
"128","CC05",2024,13,50
"129","CC05",2025,15,50
"130","CC06",2020,1,32
"131","CC06",2021,20,47
"132","CC06",2022,14,47
"133","CC06",2023,13,49
"134","CC06",2024,8,50
"135","CC06",2025,13,54
"136","CC07",2020,1,32
"137","CC07",2021,20,47
"138","CC07",2022,12,47
"139","CC07",2023,13,49
"140","CC07",2024,10,50
"141","CC07",2025,15,50
"142","CC08",2021,20,46
"143","CC08",2022,1,48
"144","CC08",2023,13,49
"145","CC08",2024,9,50
"146","CC08",2025,14,50
"147","CC09",2020,1,32
"148","CC09",2021,20,48
"149","CC09",2022,12,47
"150","CC09",2023,14,48
"151","CC09",2024,12,50
"152","CC09",2025,14,51
"153","CC10",2020,1,32
"154","CC10",2021,20,46
"155","CC10",2022,10,48
"156","CC10",2023,26,49
"157","CC10",2024,32,50
"158","CC10",2025,13,50
"159","CC11",2020,1,34
"160","CC11",2021,3,47
"161","CC11",2022,12,47
"162","CC11",2023,15,49
"163","CC11",2024,11,51
"164","CC11",2025,15,49
"165","CC12",2020,1,33
"166","CC12",2021,20,45
"167","CC12",2022,14,47
"168","CC12",2023,24,50
"169","CC12",2024,13,51
"170","CC12",2025,15,49
"171","CC13",2020,1,40
"172","CC13",2021,1,47
"173","CC13",2022,1,47
"174","CC13",2023,15,49
"175","CC13",2024,10,50
"176","CC13",2025,15,49
"177","CC14",2020,1,40
"178","CC14",2021,3,47
"179","CC14",2023,15,49
"180","CC14",2024,8,50
"181","CC14",2025,15,49
"182","CC15",2020,1,14
