"","k","N","NF","NM","SDF","SDM","lam01","lam02","sig1","sig2","SDFS","SDFL","SDMS","SDML","truesig1","truesig2","truelam01","truelam02","N1CI","N2CI","Sig1CI","Sig2CI","Lam01CI","Lam02CI","TrueNF","TrueNM","Model"
"1",1,0,332,275,44.5096204501788,27.5233304961851,0.0555123759532876,0.0209397476306416,0.62166573283933,0.882038349583381,0.0544536738695453,0.00949224620271173,0.154463755471874,0.00632161356573818,0.6,0.9,0.07,0.03,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,269,170,"BandSMR"
"2",10,0,305,228,45.757242572056,42.9513843151775,0.0794219504903327,0.0171256924833571,0.584887517866642,1.11234642497587,0.0449114257270083,0.0120766880339078,0.145168878171898,0.00469065254605666,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,269,187,"BandSMR"
"3",100,0,241,247,43.6658984796416,37.9616242859719,0.0872546504840328,0.0253041265174316,0.681173410807914,0.919954949179589,0.0611541113883377,0.0143649650509264,0.107121859041864,0.00630752644403916,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,263,182,"BandSMR"
"4",11,0,284,201,51.7780991136183,36.6555955387413,0.0613266832591637,0.0335662864980951,0.621406678206035,0.97414449205137,0.0525799374321461,0.0106022411533384,0.0950420004387239,0.00751530632363014,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,265,182,"BandSMR"
"5",12,0,319,281,40.7650732238933,22.0263264368757,0.0662770550617049,0.0214573248672357,0.608807127351959,1.03569833184288,0.0420954208534032,0.010238070387753,0.123315650523102,0.00496823448426875,0.6,0.9,0.07,0.03,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,265,183,"BandSMR"
"6",13,0,341,168,43.3837376517624,33.0758540204791,0.075699223704031,0.0471362712744915,0.560942894882249,0.811702598733915,0.0465138096908109,0.012517733813206,0.0650819305402366,0.0083024523795795,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,275,171,"BandSMR"
"7",14,0,361,232,33.3730178917977,40.2393326776148,0.0586891582774257,0.0267054111727704,0.689011246225144,0.840954866276387,0.0533620673963338,0.00922735609660385,0.107813893279463,0.00780536250627279,0.6,0.9,0.07,0.03,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,267,179,"BandSMR"
"8",15,0,362,254,30.9427397185215,33.1873283779439,0.0670679186099163,0.0270759754830423,0.582397041572539,0.878238457423312,0.0464582823632719,0.01127040074982,0.0912158796121206,0.00599654439208954,0.6,0.9,0.07,0.03,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,270,177,"BandSMR"
"9",16,0,365,280,31.6060159910793,23.4970221104178,0.0764855956988134,0.0510275941050676,0.529652095594223,0.623423048381843,0.0343965008795566,0.0108114166593259,0.0712000822833237,0.0110067110123276,0.6,0.9,0.07,0.03,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,264,186,"BandSMR"
"10",17,0,314,259,42.1246048537477,31.6497948946042,0.0685265999166103,0.0462005352193935,0.608297828445815,0.707912319940354,0.0502861622915936,0.0119292051328433,0.0599204024501113,0.00849395833848607,0.6,0.9,0.07,0.03,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,261,180,"BandSMR"
"11",18,0,300,251,46.7659458544316,31.9695380183604,0.0806272930357258,0.0350971692152742,0.571586679710337,0.823704933726045,0.0455723485741219,0.0126967183267223,0.0833072908896107,0.00728569150037257,0.6,0.9,0.07,0.03,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,260,177,"BandSMR"
"12",19,0,302.5,259,42.7296202016233,31.8736103752316,0.0837651694612874,0.032087370787078,0.604296888749489,0.808586817874199,0.0408123038802442,0.01312091757541,0.0875887420568712,0.006705051109196,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,270,183,"BandSMR"
"13",2,0,356,262,34.6135371008625,33.7706643411315,0.0723856904100367,0.0374233964936589,0.611252658001454,0.797327912103882,0.044065676100664,0.0107425345865111,0.080280286806592,0.00880385640202339,0.6,0.9,0.07,0.03,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,270,182,"BandSMR"
"14",20,0,366,238,31.7753616719137,42.5709191710073,0.0663053129440534,0.0280889318630151,0.590954924080565,0.918806460522943,0.0469475591168072,0.0110304855312285,0.115557143984239,0.00739680810068392,0.6,0.9,0.07,0.03,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,275,180,"BandSMR"
"15",21,0,357,265,35.0274689214887,28.868748870414,0.0773382789988818,0.0280594360951598,0.564473449696706,0.883357980280933,0.040337568183129,0.0108492923342785,0.091152453127337,0.00613453645523214,0.6,0.9,0.07,0.03,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,265,179,"BandSMR"
"16",22,0,334,227,40.4025538612853,51.0237378787797,0.0600287057753687,0.0334765528395795,0.58799974293777,0.824731918847837,0.0489015170504036,0.00976379975752286,0.126999947435469,0.00848822868795028,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,266,171,"BandSMR"
"17",23,0,347,270,40.0383115351818,27.4963928007793,0.0842145361205381,0.0283584623165022,0.535359568557787,0.831319763264221,0.0414045851701745,0.0139044606665824,0.0828096206027879,0.00605141883770731,0.6,0.9,0.07,0.03,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,267,181,"BandSMR"
"18",24,0,365,234,32.8032866666727,36.0702453973007,0.0609454649936995,0.0345867770179833,0.601556299947071,0.794842501505824,0.0455140818755898,0.0104561987556855,0.0801448340778226,0.00751530618815503,0.6,0.9,0.07,0.03,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,268,174,"BandSMR"
